index,term_type,group,feature,term,coefficient,absolute_coefficient,notes
0,context_feature,,intercept,intercept,-0.0107015536138184,0.0107015536138184,Feature coefficient when log multipliers are zero; descriptor values are scaled by the training-data scaler except intercept.
1,context_feature,,gsd_median,gsd_median,0.004997306944967294,0.004997306944967294,Feature coefficient when log multipliers are zero; descriptor values are scaled by the training-data scaler except intercept.
2,context_feature,,overlap_proxy,overlap_proxy,0.0011087534168434555,0.0011087534168434555,Feature coefficient when log multipliers are zero; descriptor values are scaled by the training-data scaler except intercept.
3,context_feature,,coverage_spread,coverage_spread,-0.01310243933909662,0.01310243933909662,Feature coefficient when log multipliers are zero; descriptor values are scaled by the training-data scaler except intercept.
4,context_feature,,camera_angle_bucket,camera_angle_bucket,0.0,0.0,Feature coefficient when log multipliers are zero; descriptor values are scaled by the training-data scaler except intercept.
5,context_feature,,heading_consistency,heading_consistency,0.0009136026272309557,0.0009136026272309557,Feature coefficient when log multipliers are zero; descriptor values are scaled by the training-data scaler except intercept.
6,context_feature,,texture_density,texture_density,-0.028992885741109784,0.028992885741109784,Feature coefficient when log multipliers are zero; descriptor values are scaled by the training-data scaler except intercept.
7,context_feature,,blur_motion_risk,blur_motion_risk,-0.02029546565553776,0.02029546565553776,Feature coefficient when log multipliers are zero; descriptor values are scaled by the training-data scaler except intercept.
8,context_feature,,terrain_roughness_proxy,terrain_roughness_proxy,0.0009858778360155936,0.0009858778360155936,Feature coefficient when log multipliers are zero; descriptor values are scaled by the training-data scaler except intercept.
9,context_feature,,vegetation_complexity_score,vegetation_complexity_score,0.003012342846143055,0.003012342846143055,Feature coefficient when log multipliers are zero; descriptor values are scaled by the training-data scaler except intercept.
10,context_feature,,vegetation_cover_percentage,vegetation_cover_percentage,-0.0010363261200148398,0.0010363261200148398,Feature coefficient when log multipliers are zero; descriptor values are scaled by the training-data scaler except intercept.
11,log_multiplier,geometry_lr_mult,,log(geometry_lr_mult),0.042715231531860486,0.042715231531860486,Direct effect of the group log multiplier when scaled descriptors are zero.
12,log_multiplier,appearance_lr_mult,,log(appearance_lr_mult),0.020155533114085838,0.020155533114085838,Direct effect of the group log multiplier when scaled descriptors are zero.
13,log_multiplier,densification_mult,,log(densification_mult),-0.01869440394089399,0.01869440394089399,Direct effect of the group log multiplier when scaled descriptors are zero.
14,log_multiplier_squared,geometry_lr_mult,,log(geometry_lr_mult)^2,-0.03723651078116201,0.03723651078116201,Curvature term for the group log multiplier.
15,log_multiplier_squared,appearance_lr_mult,,log(appearance_lr_mult)^2,-0.03695936817544731,0.03695936817544731,Curvature term for the group log multiplier.
16,log_multiplier_squared,densification_mult,,log(densification_mult)^2,0.3448834137758714,0.3448834137758714,Curvature term for the group log multiplier.
17,descriptor_multiplier_interaction,geometry_lr_mult,gsd_median,gsd_median * log(geometry_lr_mult),0.0038679487548742204,0.0038679487548742204,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
18,descriptor_multiplier_interaction,geometry_lr_mult,overlap_proxy,overlap_proxy * log(geometry_lr_mult),-0.003827374161911675,0.003827374161911675,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
19,descriptor_multiplier_interaction,geometry_lr_mult,coverage_spread,coverage_spread * log(geometry_lr_mult),-0.008084319524145196,0.008084319524145196,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
20,descriptor_multiplier_interaction,geometry_lr_mult,camera_angle_bucket,camera_angle_bucket * log(geometry_lr_mult),0.0,0.0,Interaction term: how the scaled descriptor changes the effect of this group log multiplier.
